code,url,creator,created_t,last_modified_t,product_name,generic_name,quantity,packaging,packaging_tags,brands,brands_tags,categories,categories_tags,labels,labels_tags,origins,origins_tags,manufacturing_places,manufacturing_places_tags,emb_codes,emb_codes_tags,cities,cities_tags,purchase_places,stores,countries,ingredients_text,allergens,allergens_tags,traces,traces_tags,serving_size,no_nutriments,additives_n,additives,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,pnns_groups_1,pnns_groups_2,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,-butyric-acid_100g,-caproic-acid_100g,-caprylic-acid_100g,-capric-acid_100g,-lauric-acid_100g,-myristic-acid_100g,-palmitic-acid_100g,-stearic-acid_100g,-arachidic-acid_100g,-behenic-acid_100g,-lignoceric-acid_100g,-cerotic-acid_100g,-montanic-acid_100g,-melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,-alpha-linolenic-acid_100g,-eicosapentaenoic-acid_100g,-docosahexaenoic-acid_100g,omega-6-fat_100g,-linoleic-acid_100g,-arachidonic-acid_100g,-gamma-linolenic-acid_100g,-dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,-oleic-acid_100g,-elaidic-acid_100g,-gondoic-acid_100g,-mead-acid_100g,-erucic-acid_100g,-nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,-sucrose_100g,-glucose_100g,-fructose_100g,-lactose_100g,-maltose_100g,-maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g
5000295093423,https://world.openfoodfacts.org/product/5000295093423,tacinte,1435398370,1479415620,CountryLife Whole British Milk,whole milk,568 ml,plastic bottle,plastic-bottle,countrylife,countrylife,"Dairies,Milks","en:dairies,en:milks",Assured Food Standards,en:assured-food-standards,United Kingdom,united-kingdom,United Kingdom,united-kingdom,UK DY014 EC,uk-dy014-ec,,,"Brent,London,UK",Food & Wine,UK,Milk,,,,,,,0,[ milk -> en:milk  ],,0,,,0,,,Milk and dairy products,Milk and yogurt,en:milks,https://static.openfoodfacts.org/images/products/500/029/509/3423/front_en.12.400.jpg,https://static.openfoodfacts.org/images/products/500/029/509/3423/front_en.12.200.jpg,https://static.openfoodfacts.org/images/products/500/029/509/3423/front_en.12.400.jpg,https://static.openfoodfacts.org/images/products/500/029/509/3423/front_en.12.200.jpg,https://static.openfoodfacts.org/images/products/500/029/509/3423/ingredients_en.13.400.jpg,https://static.openfoodfacts.org/images/products/500/029/509/3423/ingredients_en.13.200.jpg,https://static.openfoodfacts.org/images/products/500/029/509/3423/nutrition_en.14.400.jpg,https://static.openfoodfacts.org/images/products/500/029/509/3423/nutrition_en.14.200.jpg,269,,3.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.7,,,,,,,,,,3.2,,,,0.1,0.03937007874,,,,,,,,,,,,,,4.00E-07,,,,,,,0.119,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,
173759,https://world.openfoodfacts.org/product/00173759,tacinte,1409681700,1424687841,Semi skimmed British milk,Semi skimmed British milk,1 pint (568ml),"Plastic,Bottle","plastic,bottle","Sainsbury's,by sainsbury's","sainsbury-s,by-sainsbury-s","Dairies,Milks,Semi skimmed Milk","en:dairies,en:milks,en:semi-skimmed-milks",,,United Kingdom,united-kingdom,,,UK TC010 EC,uk-tc010-ec,,,"Liverpool,United Kingdom",Sainsbury's,United Kingdom,Pasteurised homogenised standardised semi skimmed milk,,,,,200ml,,0,[ pasteurised-homogenised-standardised-semi-skimmed-milk -> en:pasteurised-homogenised-standardised-semi-skimmed-milk  ]  [ homogenised-standardised-semi-skimmed-milk -> en:homogenised-standardised-semi-skimmed-milk  ]  [ standardised-semi-skimmed-milk -> en:standardised-semi-skimmed-milk  ]  [ semi-skimmed-milk -> en:semi-skimmed-milk  ]  [ skimmed-milk -> en:skimmed-milk  ]  [ milk -> en:milk  ],,0,,,0,,,Milk and dairy products,Milk and yogurt,en:semi-skimmed-milks,https://static.openfoodfacts.org/images/products/00173759/front_en.8.400.jpg,https://static.openfoodfacts.org/images/products/00173759/front_en.8.200.jpg,https://static.openfoodfacts.org/images/products/00173759/front_en.8.400.jpg,https://static.openfoodfacts.org/images/products/00173759/front_en.8.200.jpg,https://static.openfoodfacts.org/images/products/00173759/ingredients_en.9.400.jpg,https://static.openfoodfacts.org/images/products/00173759/ingredients_en.9.200.jpg,https://static.openfoodfacts.org/images/products/00173759/nutrition_en.10.400.jpg,https://static.openfoodfacts.org/images/products/00173759/nutrition_en.10.200.jpg,202,,1.75,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,,,,,,,,,0.25,3.5,,,,0.0999,0.0394,,,,,,,,,,,,,,9.50E-07,,,,,,,0.124,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
20017743,https://world.openfoodfacts.org/product/20017743,openfoodfacts-contributors,1459753220,1479415632,Whole milk,whole milk,4 pints,plastic bottle,plastic-bottle,Morning fresh,morning-fresh,Milks,"en:dairies,en:milks",Assured Food Standards,en:assured-food-standards,United Kingdom,united-kingdom,United Kingdom,united-kingdom,UK EN006 EC,uk-en006-ec,,,"Barnet,London,UK",Lidl,United Kingdom,Whole milk,,,,,200ml,,0,[ whole-milk -> en:whole-milk  ]  [ milk -> en:milk  ],,0,,,0,,,Milk and dairy products,Milk and yogurt,en:milks,https://static.openfoodfacts.org/images/products/20017743/front_en.6.400.jpg,https://static.openfoodfacts.org/images/products/20017743/front_en.6.200.jpg,https://static.openfoodfacts.org/images/products/20017743/front_en.6.400.jpg,https://static.openfoodfacts.org/images/products/20017743/front_en.6.200.jpg,https://static.openfoodfacts.org/images/products/20017743/ingredients_en.9.400.jpg,https://static.openfoodfacts.org/images/products/20017743/ingredients_en.9.200.jpg,https://static.openfoodfacts.org/images/products/20017743/nutrition_en.10.400.jpg,https://static.openfoodfacts.org/images/products/20017743/nutrition_en.10.200.jpg,290,,4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.7,,,,,,,,,0.5,3.4,,,,0.1,0.03937007874,,,,,,,,,,,,,,9.00E-07,,,,,,,0.122,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
20575151,https://world.openfoodfacts.org/product/20575151,bcatelin,1466325329,1479415614,British whole milk,Whole milk,1.136l (2pints),plastic,plastic,Morning fresh,morning-fresh,Fresh milks,"en:dairies,en:milks,en:fresh-milks",Assured Food Standards,en:assured-food-standards,United Kingdom,united-kingdom,United Kingdom,united-kingdom,UK DY014 EC,uk-dy014-ec,,,"London,UK",,United Kingdom,Milk,,en:milk,,,200ml,,0,[ milk -> en:milk  ],,0,,,0,,,Milk and dairy products,Milk and yogurt,en:fresh-milks,https://static.openfoodfacts.org/images/products/20575151/front_en.7.400.jpg,https://static.openfoodfacts.org/images/products/20575151/front_en.7.200.jpg,https://static.openfoodfacts.org/images/products/20575151/front_en.7.400.jpg,https://static.openfoodfacts.org/images/products/20575151/front_en.7.200.jpg,https://static.openfoodfacts.org/images/products/20575151/ingredients_en.8.400.jpg,https://static.openfoodfacts.org/images/products/20575151/ingredients_en.8.200.jpg,https://static.openfoodfacts.org/images/products/20575151/nutrition_en.9.400.jpg,https://static.openfoodfacts.org/images/products/20575151/nutrition_en.9.200.jpg,273,,3.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.7,,,,,,,,,0,3.3,,,,0.15,0.05905511811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
5060195902300,https://world.openfoodfacts.org/product/5060195902300,annalisaskitchen,1420581504,1420582840,Genius Gluten Free Brown Loaf,brown sliced bread made from maize starch and potato starch,360 g,Plastic bag,plastic-bag,Genius,genius,Bread,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads","Gluten Free,Wheat Free,Milk Free,High in Fibre,Suitable for Coeliacs and Vegetarians","en:gluten-free,en:no-milk,en:high-in-fibre,en:suitable-for-coeliacs-and-vegetarians,en:wheat-free",United Kingdom,united-kingdom,United Kingdom,united-kingdom,,,,,London,Sainsbury's,United Kingdom,"Water, Maize starch, Potato Starch, Rapeseed Oil, Tapioca Starch, Dried _Egg_ White, Rice Bran, Treacle, Yeast , Cellulose, Stabiliser (Xanthan Gum), Sugar Beet Fibre, Salt, Preservative (Calcium Propionate)",Egg,en:eggs,,,60 g,,3,[ water -> en:water  ]  [ maize-starch -> en:maize-starch  ]  [ starch -> en:starch  ]  [ potato-starch -> en:potato-starch  ]  [ starch -> en:starch  ]  [ rapeseed-oil -> en:rapeseed-oil  ]  [ oil -> en:oil  ]  [ tapioca-starch -> en:tapioca-starch  ]  [ starch -> en:starch  ]  [ dried-egg-white -> en:dried-egg-white  ]  [ egg-white -> en:egg-white  ]  [ white -> en:white  ]  [ rice-bran -> en:rice-bran  ]  [ bran -> en:bran  ]  [ treacle -> en:treacle  ]  [ yeast -> en:yeast  ]  [ cellulose -> en:e460  -> exists  -- ok  ]  [ stabiliser -> en:stabiliser  ]  [ xanthan-gum -> en:e415  -> exists  -- ok  ]  [ sugar-beet-fibre -> en:sugar-beet-fibre  ]  [ beet-fibre -> en:beet-fibre  ]  [ fibre -> en:fibre  ]  [ salt -> en:salt  ]  [ preservative -> en:preservative  ]  [ calcium-propionate -> en:e282  -> exists  -- ok  ],"en:e282,en:e415,en:e460",0,,,0,,,Cereals and potatoes,Bread,en:breads,https://static.openfoodfacts.org/images/products/506/019/590/2300/front_en.3.400.jpg,https://static.openfoodfacts.org/images/products/506/019/590/2300/front_en.3.200.jpg,https://static.openfoodfacts.org/images/products/506/019/590/2300/front_en.3.400.jpg,https://static.openfoodfacts.org/images/products/506/019/590/2300/front_en.3.200.jpg,,,,,1269,,14.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.1,,,,,,,,,6.1,6.5,,,,1.00076,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,
5021638013007,https://world.openfoodfacts.org/product/5021638013007,danpb,1393285556,1516201553,Rachel's Organic Rhubarb bio-live yogurt,Rhubarb Low Fat Yogurt,450 g,"cardboard,tub,plastic","cardboard,tub,plastic",Rachel's,rachel-s,"Dairies,Fermented foods,Fermented milk products,Yogurts,Fruit yogurts,Low-fat yogurts","en:dairies,en:fermented-foods,en:fermented-milk-products,en:yogurts,en:fruit-yogurts,en:low-fat-yogurts","Organic,EU Organic,GB-ORG-05,Soil Association Organic","en:organic,en:eu-organic,en:gb-org-05,en:soil-association-organic","United Kingdom,europe","united-kingdom,europe",Wales,wales,UK VD011 EC,uk-vd011-ec,,,"London,UK",Sainsburys,United Kingdom,"Organic low fat yogurt (from _milk_), organic rhubarb 9%, organic sugar, organic rice starch, organic concentrated lemon juice, natural flavouring.",milk,en:milk,,,,,0,[ organic-low-fat-yogurt -> en:organic-low-fat-yogurt  ]  [ low-fat-yogurt -> en:low-fat-yogurt  ]  [ fat-yogurt -> en:fat-yogurt  ]  [ yogurt -> en:yogurt  ]  [ from-milk -> en:from-milk  ]  [ milk -> en:milk  ]  [ organic-rhubarb-9 -> en:organic-rhubarb-9  ]  [ rhubarb-9 -> en:rhubarb-9  ]  [ 9 -> en:fd-c  ]  [ organic-sugar -> en:organic-sugar  ]  [ sugar -> en:sugar  ]  [ organic-rice-starch -> en:organic-rice-starch  ]  [ rice-starch -> en:rice-starch  ]  [ starch -> en:starch  ]  [ organic-concentrated-lemon-juice -> en:organic-concentrated-lemon-juice  ]  [ concentrated-lemon-juice -> en:concentrated-lemon-juice  ]  [ lemon-juice -> en:lemon-juice  ]  [ juice -> en:juice  ]  [ natural-flavouring -> en:natural-flavouring  ]  [ flavouring -> en:flavouring  ],,0,,,0,,,Milk and dairy products,Milk and yogurt,en:low-fat-yogurts,https://static.openfoodfacts.org/images/products/502/163/801/3007/front_en.16.400.jpg,https://static.openfoodfacts.org/images/products/502/163/801/3007/front_en.16.200.jpg,https://static.openfoodfacts.org/images/products/502/163/801/3007/front_en.16.400.jpg,https://static.openfoodfacts.org/images/products/502/163/801/3007/front_en.16.200.jpg,https://static.openfoodfacts.org/images/products/502/163/801/3007/ingredients_en.18.400.jpg,https://static.openfoodfacts.org/images/products/502/163/801/3007/ingredients_en.18.200.jpg,https://static.openfoodfacts.org/images/products/502/163/801/3007/nutrition_en.19.400.jpg,https://static.openfoodfacts.org/images/products/502/163/801/3007/nutrition_en.19.200.jpg,365,,1.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,13.1,,,,,,,,,,4.2,,,,0.2,0.07874015748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
181402,https://world.openfoodfacts.org/product/00181402,tacinte,1412768042,1424687553,Whole British Milk,Whole Milk,"4 pints, 2.272 l","plastic,bottle","plastic,bottle","Sainsbury's,by sainsbury's","sainsbury-s,by-sainsbury-s","Dairies,Milks,Whole Milk","en:dairies,en:milks,en:whole-milks",,,United Kingdom,united-kingdom,United Kingdom,united-kingdom,UK TC010 EC,uk-tc010-ec,,,"Liverpool,United Kingdom",Sainsbury's,United Kingdom,Pasteurised homogenised standardised whole milk,,,,,200ml,,0,[ pasteurised-homogenised-standardised-whole-milk -> en:pasteurised-homogenised-standardised-whole-milk  ]  [ homogenised-standardised-whole-milk -> en:homogenised-standardised-whole-milk  ]  [ standardised-whole-milk -> en:standardised-whole-milk  ]  [ whole-milk -> en:whole-milk  ]  [ milk -> en:milk  ],,0,,,0,,,Milk and dairy products,Milk and yogurt,en:whole-milks,https://static.openfoodfacts.org/images/products/00181402/front_en.9.400.jpg,https://static.openfoodfacts.org/images/products/00181402/front_en.9.200.jpg,https://static.openfoodfacts.org/images/products/00181402/front_en.9.400.jpg,https://static.openfoodfacts.org/images/products/00181402/front_en.9.200.jpg,https://static.openfoodfacts.org/images/products/00181402/ingredients_en.10.400.jpg,https://static.openfoodfacts.org/images/products/00181402/ingredients_en.10.200.jpg,https://static.openfoodfacts.org/images/products/00181402/nutrition_en.11.400.jpg,https://static.openfoodfacts.org/images/products/00181402/nutrition_en.11.200.jpg,282,,4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.5,,,,,,,,,0.5,3.3,,,,0.100076,0.0394,,,,,,,,,,,,,,9.00E-07,,,,,,,0.121,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
1578232,https://world.openfoodfacts.org/product/01578232,kyzh,1425925723,1425933181,1% fat British milk,pasteurised homogenised standardised 1% fat milk,568ml,"bottle - plastic,cap - plastic","bottle-plastic,cap-plastic","sainsbury's,by sainsbury's","sainsbury-s,by-sainsbury-s","Dairies,Milks","en:dairies,en:milks",,,united kingdom,united-kingdom,united kingdom,united-kingdom,UK EN006 EC,uk-en006-ec,,,"united kingdom,london",sainsbury's,United Kingdom,cow's _milk_,milk,en:milk,,,200ml,,0,[ cow-s-milk -> en:cow-s-milk  ]  [ s-milk -> en:s-milk  ]  [ milk -> en:milk  ],,0,,,0,,,Milk and dairy products,Milk and yogurt,en:milks,https://static.openfoodfacts.org/images/products/01578232/front_en.14.400.jpg,https://static.openfoodfacts.org/images/products/01578232/front_en.14.200.jpg,https://static.openfoodfacts.org/images/products/01578232/front_en.14.400.jpg,https://static.openfoodfacts.org/images/products/01578232/front_en.14.200.jpg,https://static.openfoodfacts.org/images/products/01578232/ingredients_en.10.400.jpg,https://static.openfoodfacts.org/images/products/01578232/ingredients_en.10.200.jpg,https://static.openfoodfacts.org/images/products/01578232/nutrition_en.11.400.jpg,https://static.openfoodfacts.org/images/products/01578232/nutrition_en.11.200.jpg,182,,1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,4.9,,,,,,,,,0.5,3.6,,,,0.11,0.04330708661,,,,,,,,,,,,,,9.00E-07,,,,,,,0.127,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,
5052449332131,https://world.openfoodfacts.org/product/5052449332131,tacinte,1415822916,1461439461,10 slices Cooked chicken,"Reformed cooked chicken with added water, milk protein and lactose",125g,plastic,plastic,Asda,asda,chicken,"en:meats,en:poultries,en:chickens",,,United Kingdom,united-kingdom,European Union,european-union,UK YE056 EC,uk-ye056-ec,,,"Liverpool,United Kingdom",Asda,United Kingdom,"Chicken 78%, Water, Tapioca Starch, Salt, Milk Protein, Stabilisers (Di, Tri and Polyphosphates), Lactose (Milk).",,,,,,,1,[ chicken-78 -> en:chicken-78  ]  [ 78 -> en:78  ]  [ water -> en:water  ]  [ tapioca-starch -> en:tapioca-starch  ]  [ starch -> en:starch  ]  [ salt -> en:salt  ]  [ milk-protein -> en:milk-protein  ]  [ protein -> en:protein  ]  [ stabilisers -> en:stabilisers  ]  [ di -> en:di  ]  [ tri-and-polyphosphates -> en:tri-and-polyphosphates  ]  [ and-polyphosphates -> en:and-polyphosphates  ]  [ polyphosphates -> en:e452  -> exists  -- ok  ]  [ lactose -> en:lactose  ]  [ milk -> en:milk  ],en:e452,0,,,0,,,Fish Meat Eggs,Meat,en:chickens,https://static.openfoodfacts.org/images/products/505/244/933/2131/front_en.8.400.jpg,https://static.openfoodfacts.org/images/products/505/244/933/2131/front_en.8.200.jpg,https://static.openfoodfacts.org/images/products/505/244/933/2131/front_en.8.400.jpg,https://static.openfoodfacts.org/images/products/505/244/933/2131/front_en.8.200.jpg,https://static.openfoodfacts.org/images/products/505/244/933/2131/ingredients_en.11.400.jpg,https://static.openfoodfacts.org/images/products/505/244/933/2131/ingredients_en.11.200.jpg,https://static.openfoodfacts.org/images/products/505/244/933/2131/nutrition_en.13.400.jpg,https://static.openfoodfacts.org/images/products/505/244/933/2131/nutrition_en.13.200.jpg,466,,2.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,0.5,,,,,,,,,0,18,,,,1.2192,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
50167862010002,https://world.openfoodfacts.org/product/50167862010002,gholem,1383832669,1440079099,Alara Gluten Free Fruity Oats Muesli,Muesli,500 g,Box,box,Alara,alara,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Mixed cereal flakes,Mueslis,Wholegrains","en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:flakes,en:cereal-flakes,en:mixed-cereal-flakes,en:mueslis,en:wholegrains","Low or no salt,Low or no sugar,Vegetarian,Vegan,Gluten-free,High fibres,High proteins,No milk,No salt,No sugar,Nut Free,Wheat Free,Wholegrains","en:low-or-no-salt,en:low-or-no-sugar,en:vegetarian,en:high-proteins,en:vegan,en:gluten-free,en:high-fibres,en:no-milk,en:no-salt,en:no-sugar,en:nut-free,en:wheat-free,en:wholegrains",United Kingdom,united-kingdom,,,,,,,"London,United Kingdom",Alara Health Store,"United Kingdom,United States","_Oat_ Flakes 57%, Sultanas 18%, Sunflower Seeds 7%, Dates Chopped 5.7%, Raisins 5.7%, Linseeds 3.5%, Apricots Chopped 3%",Oat,en:gluten,Sodium,en:sodium,,,0,[ oat-flakes-57 -> en:oat-flakes-57  ]  [ flakes-57 -> en:flakes-57  ]  [ 57 -> en:57  ]  [ sultanas-18 -> en:sultanas-18  ]  [ 18 -> en:18  ]  [ sunflower-seeds-7 -> en:sunflower-seeds-7  ]  [ seeds-7 -> en:seeds-7  ]  [ 7 -> en:fd-c  ]  [ dates-chopped-5-7 -> en:dates-chopped-5-7  ]  [ chopped-5-7 -> en:chopped-5-7  ]  [ 5-7 -> en:5-7  ]  [ 7 -> en:fd-c  ]  [ raisins-5-7 -> en:raisins-5-7  ]  [ 5-7 -> en:5-7  ]  [ 7 -> en:fd-c  ]  [ linseeds-3-5 -> en:linseeds-3-5  ]  [ 3-5 -> en:3-5  ]  [ 5 -> en:fd-c  ]  [ apricots-chopped-3 -> en:apricots-chopped-3  ]  [ chopped-3 -> en:chopped-3  ]  [ 3 -> en:fd-c  ],,0,,,0,,,Cereals and potatoes,Breakfast cereals,en:mueslis,https://static.openfoodfacts.org/images/products/501/678/620/10002/front_en.3.400.jpg,https://static.openfoodfacts.org/images/products/501/678/620/10002/front_en.3.200.jpg,https://static.openfoodfacts.org/images/products/501/678/620/10002/front_en.3.400.jpg,https://static.openfoodfacts.org/images/products/501/678/620/10002/front_en.3.200.jpg,,,,,1549,,8.4,1.1,,,,,,,,,,,,,,,2.2,4.4,,,,,,,,,,,,,,,,,,,65.6,20.3,,,,,,,,,8.9,10.1,,,,0,0,0,,,,0.003,,0.0007,0.0006,0.0001,0.0011,0.0002,4.65E-05,,,,,,,,,0.0604,,0.0037,0.133,0.0023,,0.0024,,2.41E-05,,,,,,,,,,,,,-1,-1,,,,,,,
